call,n_wolves,n_iter,w3_min,a_exp,mse_peaks,r2_map,J,time_s,best_J
1,20,30,0.1,2.0,0.09110162032721385,0.9566628157914104,0.06721940226790171,341.5594832897186,0.06721940226790171
2,41,19,0.23390730008183083,2.193700315892974,0.09455805211768925,0.9680704731665528,0.06324378947556822,312.9337718486786,0.06324378947556822
3,25,15,0.13777466758976017,1.667417222278044,0.1457615743448507,0.817890587193585,0.16393549357563286,329.8073241710663,0.06324378947556822
4,11,43,0.01692347370813008,2.4439975445336497,0.08211721595225373,0.9564204928574128,0.06284836154742046,348.91265630722046,0.06284836154742046
5,47,10,0.2976634677873653,2.2349630192554333,0.08756338731750744,0.9655476214228331,0.06100788294733716,291.3828172683716,0.06100788294733716
6,33,10,0.006918727512424728,2.0495493205167783,0.06933138646522904,0.9843929301726503,0.04246922814628938,232.4303057193756,0.04246922814628938
7,23,12,0.2921266556524378,1.4655426808606085,0.0791965813482546,0.9372993968065109,0.07094859227087186,274.4124388694763,0.04246922814628938
8,9,41,0.11473859738014885,2.966461771613577,0.09028989869307331,0.9618828425691669,0.0642035280619532,239.1260471343994,0.04246922814628938
9,26,53,0.20409226157633395,1.9009985039390862,0.09140394199421174,0.9643048896692982,0.0635495261624568,470.05551385879517,0.04246922814628938
10,6,57,0.16898646535366182,1.7708330050798324,0.08249015140720278,0.9774602285715609,0.05251496141782094,403.9003803730011,0.04246922814628938
11,6,22,0.07230763980780353,2.3665270376509167,0.07573954367423943,0.9837275806307051,0.04600598152176717,245.1958167552948,0.04246922814628938
12,50,18,0.03766241551855869,2.1033563017463504,0.08815542394711032,0.9703347510746582,0.05891033643622608,287.9210603237152,0.04246922814628938
13,6,10,0.2378568637900233,1.7442299221214976,0.12331328239089272,0.9197112510612969,0.1018010156647979,270.6068515777588,0.04246922814628938
14,37,10,0.1506614516752918,2.4313899273786674,0.12295912170304484,0.8704611789892812,0.12624897135688182,274.7634017467499,0.04246922814628938
15,8,29,0.05782174932742077,2.343262252442581,0.09887689736299682,0.9572355355546923,0.07082068090415225,245.9294936656952,0.04246922814628938
16,14,16,0.0,1.3300850592190616,0.07279162996124866,0.9740631953496394,0.04936421730580465,339.30575823783875,0.04246922814628938
17,24,12,0.06591497434524338,2.1961197815396356,0.10886243505761531,0.9300644524032963,0.08939899132715952,272.1549847126007,0.04246922814628938
18,29,23,0.015718604827226368,2.533741817296341,0.06844661263749773,0.9830331141024891,0.04270674926750433,343.50419759750366,0.04246922814628938
19,32,24,0.27756753649802024,2.8562599221891727,0.1200877153810073,0.8518533615527986,0.13411717691410438,289.5210552215576,0.04246922814628938
20,43,15,0.017217727963629696,2.651745876125909,0.07726412370476307,0.9741942956266447,0.051534914039059174,262.8404128551483,0.04246922814628938
21,46,29,0.0,2.060073661261375,0.10160211071549104,0.9591106316383614,0.0712457395385648,346.325412273407,0.04246922814628938
22,5,54,0.09342662549320177,1.2216902476100058,0.0793757136769426,0.9829439220530695,0.04821589581193657,292.94859623908997,0.04246922814628938
23,47,59,0.08395482405131124,2.5630975114710415,0.06823106816019776,0.9754625953337198,0.04638423641323897,367.0649161338806,0.04246922814628938
24,49,56,0.012383458813471587,2.9394907906269987,0.10952633251647033,0.8588651127125052,0.12533060990198255,403.92669129371643,0.04246922814628938
25,22,60,0.11842511655176687,2.7471368608006834,0.07743409311564206,0.9762716051348257,0.050581243990408184,371.2062952518463,0.04246922814628938
26,49,51,0.13851082129665265,1.7334298036020575,0.10338343421124827,0.901102593346609,0.10114042043231962,403.1172413825989,0.04246922814628938
27,37,60,0.19255727415257737,2.5756693919294325,0.06772202541992836,0.9862715197152363,0.04072525285234603,354.26571440696716,0.04072525285234603
28,6,60,0.2337955325568515,2.5152445580319998,0.08806403754006395,0.9667448601018771,0.060659588719093424,343.48547887802124,0.04072525285234603
29,9,45,0.06860315790627855,1.8459095729025012,0.10350035560287867,0.893570223309698,0.10496506614659032,339.94091391563416,0.04072525285234603
30,11,35,0.15570700957044428,2.9783403887637645,0.08874361309028406,0.9623841368982509,0.0631797380960166,352.49462509155273,0.04072525285234603
31,16,23,0.0447842002570748,1.2718458515053213,0.08955908162815351,0.964972770745641,0.06229315544125624,285.0045132637024,0.04072525285234603
32,44,27,0.2083329767331254,1.4371889042139034,0.07585066142505885,0.9777226983943482,0.049063981515355314,307.09107398986816,0.04072525285234603
33,6,36,0.20288303277485442,1.310671896271236,0.09096798581238447,0.9668153408302669,0.062076322491058794,318.2212474346161,0.04072525285234603
34,12,60,0.09991554897386287,2.861415605850673,0.08087429750888654,0.9787221949939239,0.05107605125748133,400.350790977478,0.04072525285234603
35,47,60,0.3,1.888363493110659,0.08709764188812916,0.9740220180026096,0.056537811942759794,358.08907294273376,0.04072525285234603
36,16,50,0.3,1.0744371378208344,0.07351028368981512,0.9728638398588298,0.050323221915492634,471.67949199676514,0.04072525285234603
37,45,51,0.26633069484294536,2.911499375636083,0.08173234231458128,0.9718098893087521,0.05496122650291458,339.37217378616333,0.04072525285234603
38,19,43,0.2828549214099029,1.3303471561217226,0.11174674334450743,0.9364091693447489,0.08766878699987925,294.4521782398224,0.04072525285234603
39,6,55,0.28302138904522833,2.862194606169435,0.0865122023225475,0.965488139184111,0.060512031569218236,381.6934063434601,0.04072525285234603
40,22,60,0.15741281156788878,2.9924178969279605,0.08940421280051128,0.9711540397615991,0.059125086519456097,300.0285131931305,0.04072525285234603
41,11,21,0.20500831296706648,2.762237989198812,0.08996735501965593,0.9574967859211542,0.06623528454925087,304.4428594112396,0.04072525285234603
42,40,46,0.23421250508090857,2.400765151358892,0.07219863829696975,0.9776934157003033,0.04725261129833321,384.8796510696411,0.04072525285234603
43,44,31,0.2289334288681928,2.706380584208059,0.07901504706815313,0.9840166205529208,0.04749921325761615,345.49464225769043,0.04072525285234603
44,40,39,0.2343057016598328,1.032937834081482,0.07437256016026736,0.9666718462547438,0.05385035695276179,559.2807421684265,0.04072525285234603
45,13,60,0.17988504324179885,2.4383212920633865,0.07062131620709285,0.9857348253959575,0.04244324540556769,468.7785415649414,0.04072525285234603
46,32,52,0.2435189124496258,1.4135858469446712,0.07494020246109379,0.9641741851606624,0.05538300865021567,309.82084131240845,0.04072525285234603
47,21,25,0.2253403711889455,1.141607661445536,0.08109820380835525,0.9702027080919635,0.05544774785819587,267.69011521339417,0.04072525285234603
48,5,29,0.1811657142407893,2.7639528693809114,0.1169279650931216,0.9509724959847802,0.0829777345541707,218.62383008003235,0.04072525285234603
49,27,60,0.06126287308539626,1.0286273110660387,0.0837369831837165,0.9652065429572321,0.059265220113242215,475.54175424575806,0.04072525285234603
50,13,22,0.0,2.4541806082544824,0.08695700926226572,0.9720188009070666,0.05746910417759956,270.384263753891,0.04072525285234603
